Drink,Page,Glass,Lemon Juice (oz),Lime Juice (oz),Pineapple Juice (oz),Grapefruit Juice (oz),Orange Juice (oz),Ginger Beer (oz),Bundeberg guava soda (oz),Grapefruit soda (oz),Ginger Ale (oz),Whole Milk (oz),Heavy Whipping Cream (oz),Sparkling Lemonade (oz),Seltzer (oz),Dem Simple Syrup (oz),Passion Fruit Syrup,Cinnamon Syrup (oz),Vanilla Syrup (oz),Honey Syrup (oz),Molasses Syrup (oz),SC Jerk Syrup,Li Hing Mui Syrup,Mai Tai Rich Simple Syrup (oz),Martinique sugarcane syrup (oz),Sweet Cream (oz),Small Hand Foods Raspberry Gum Syrup (oz),Orgeat (oz),Coconut Cream (oz),Pasion fruit puree (oz),Maple Syrup (oz),Vanilla Extract (drops),Almond Extract (drops),Spruce beet soda extract (drops),Blended Light Aged Rum (oz),Sill Aged Rum (oz),Blended Aged Rum (oz),Black Blended Rum - Overproof (oz),Black Blended Rum (oz),Cane coffey still aged rum (oz),Cane AOC Martinique Rhum Agricole Vieux (oz),Cane AOC Martinique Rhum Agricole Blanc (oz),Column still aged rum (oz),Pot still unaged rum,Pot still lightly aged rum,Pot still lightly aged rum - overproof (oz),Wray & Nephew White Overproof Rum,R.L. Seale 10 Year Rum (oz),St. Elizabeth Allspice Dram (oz),Peach Liquor (oz),Leopold Brothers Rocky Mountain Blackberry Liqueur (oz),London dry gin (oz),Sloe Gin (oz),Blanco tequila (oz),Vodka (oz),Bourbon (oz),Rye (oz),Brandy (oz),Pot stilled cachaca (oz),Luxardo Maraschino Liqueur (oz),Natural creme de cassis (oz),John D. Taylor's Velvet Falernum (oz),Pierre Ferrand Dry Curacao (oz),Blue Caracao (oz),Cherry Heering Liqueur (oz),Licor 43 (oz),Green Chartreuse (oz),Yellow Chartreuse (oz),Drambuie (oz),Apple brandy (oz),Natural pear liqueur (oz),Natural apricot liqueur (oz),Ginger liquer (oz),Batavia arrack (oz),Carbonated Chai Tea (oz),Campari (oz),Absinthe Blanc (dash),Punt e Mes (oz),Benedictine (oz),Tawny port (oz),Aquavit (oz),St. George Raspberry Liqueur (oz),Hibiscus Liqueur (oz),Peruvian pisco (oz),Bittermens New Orleans liqueur (oz),Giffard Banane du Bresil Banana Liqueur (oz),Vanilla Brandy (oz),Zirbenz Stone Pine Liqueur (oz),Oloroso sherry (oz),Amaro Di Angostura (oz),Amaro Averna (oz),Blandy's 5 Year Verdelho Madeira,Napa Wine Syrup (oz),Dry Vermouth (oz),Sparkling Wine (oz),Angostura Bitters (dash),Orange Bitters (dash),Grendine (dash),Pechaud's Bitters (dash),Herbstura (dash),Bitttermens Elemakule Tiki Bitters (drops),Bittermens Burlesque bitters (drops),Bittermens Xocolatl Mole Bitters (drops),Stiegl-Radler Grapefruit Beer (oz),Champagne (oz),Coconut water (oz),Spiral Cut Orange Peel (q),Fresh Peach (q),Passion Fruit Honey (oz),Passion Fruit Puree (oz),Pineapple Chunks (q),Mint Leaves (q),Lime Wedge (q),Egg White (q)
Paniolo Old-Fashioned,203,double old-fashioned,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Donn Day Afternoon,206,double old-fashioned,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,
Baie Du Galion,206,chilled coupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricole Guava Cooler,209,collins or highball,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
Richard Sealbach,209,champagne flute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,7,,,,,,4,,,,,,,,,
Cosa Nostra #2,210,footed pilsner,0.75,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,1,,,,,,,,,,,,,,,,,,
Boo Loo,249,hollowed out pinapple,,1.5,2.5,,,,,,,,,,1.5,,,,,1.25,,,,,,,,,,,,,,,,,1.5,0.75,0.75,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,
Caribeno,249,coconut shell,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
Monk's Respite,251,coconut shell,0.5,,,,,,,,,,,,1,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
The Mastadon,251,hollowed out pinapple,,0.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,1.5,,,,0.5,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,
Pinata,252,hollowed out pinapple,1,,3,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bumboat,252,hollowed out pinapple,1.5,,2,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,3,,1,,,0.75,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,
Planter's Punch,258,collins or highball,,1,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
Mai Tai,261,double old-fashioned,,0.75,,,,,,,,,,,,,,,,,,,,0.25,,,,0.25,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doctor Funk,266,double old-fashioned,0.5,0.5,,,,,,,,,,,1,0.5,,,,,,,,,,,,,,,,,,,,,,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,
Zombie,268,zombie,,0.75,,0.25,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,1.5,1,,,,,1.5,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,
Navy Grog,271,double old-fashioned,,0.75,,0.75,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scorpion,272,scorpion bowl,,2,,,4,,,,,,,,,1.5,,,,,,,,,,,,2,,,,,,,4,,,,,,,,,,,,,,,,,4,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fog Cutter,275,zombie,1.5,,,,1.5,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,2,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore Sling,276,collins or highball,0.75,,,,,,,,,,,,2,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
Hondo Hattie's Jungle Punch!,311,punch drink,1,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.25,,,,,,,0.25,,,,,,,,,0.25,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Kahiko Punch,311,punch drink,1,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,6,,,,,,,,1.5,,,,,
Triumvirate Punch,312,punch drink,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,
Eureka Punch,312,punch drink,1.5,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Yuletidal Wave,313,punch drink,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0.25,,,,,,,1,,0.5,,,,,,,,0.5,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rumbustion Punch,313,punch drink,,1,,,,,,,,,,,,0.5,,0.25,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
Puka Punch,318,brandy snifter,,1,0.75,,0.75,,,,,,,,,,0.75,,,1,,,,,,,,,,,,,,,1,,1,0.75,0.75,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
